Eb,Ek = 60 eV,Eb,210,Eb,410,Eb,610,Eb,910
293.799999999999,3313.7,292.799999999999,18153.375,292.799999999999,59476.2173913043,292.800000000005,219.405238966907,292.800000000005,149.791716686675
293.749999999999,3450.5,292.749999999999,19039.625,292.749999999999,60367,292.750000000005,233.045621276265,292.750000000005,152.257262905162
293.699999999999,3519.15,292.699999999999,21601,292.699999999999,61080.2608695652,292.700000000005,232.604050984004,292.700000000005,162.990216086434
293.649999999999,3489.7,292.649999999999,23928.625,292.649999999999,61440.8260869565,292.650000000005,271.24835109261,292.650000000005,161.043217286915
293.599999999999,3706.9,292.599999999999,25822,292.599999999999,63990.7391304348,292.600000000005,289.835700582448,292.600000000005,169.809603841537
293.549999999999,3637.95,292.549999999999,28192.5,292.549999999999,63850.3043478261,292.550000000005,311.093170433298,292.550000000005,180.32731092437
293.499999999999,3732.7,292.499999999999,30485,292.499999999999,63843.9130434783,292.500000000005,318.399778863045,292.500000000005,184.876830732293
293.449999999999,3886.85,292.449999999999,32596.375,292.449999999999,65588.0869565217,292.450000000005,345.687443017577,292.450000000005,186.598799519808
293.399999999999,3669.55,292.399999999999,33325.875,292.399999999999,65665.3913043478,292.400000000005,367.572770627735,292.400000000005,189.250240096038
293.349999999999,3837.2,292.349999999999,35039.125,292.349999999999,66074.5652173913,292.350000000005,389.402901951361,292.350000000005,187.430432172869
293.299999999999,4081.6,292.299999999999,37387.5,292.299999999999,67308.6956521739,292.300000000005,415.565941767792,292.300000000005,202.419387755102
293.249999999999,3979.9,292.249999999999,40782.75,292.249999999999,67649.4347826087,292.250000000005,421.237360209012,292.250000000005,219.844537815126
293.199999999999,3866.45,292.199999999999,43029.75,292.199999999999,68845.0869565217,292.200000000005,424.031672214723,292.200000000005,225.705102040816
293.149999999999,3817.6,292.149999999999,44650.75,292.149999999999,69687.8260869565,292.150000000005,451.45042754977,292.150000000005,229.237094837935
293.099999999999,3874.15,292.099999999999,47240.75,292.099999999999,69810.6956521739,292.100000000005,451.091651687308,292.100000000005,231.311284513806
293.049999999999,4030.3,292.049999999999,48940.5,292.049999999999,71152.4782608696,292.050000000005,472.162834071111,292.050000000005,239.539555822329
292.999999999999,4156.1,291.999999999999,50731.875,291.999999999999,70493.0869565217,292.000000000005,524.468215096523,292.000000000005,239.157983193277
292.949999999999,4289.55,291.949999999999,50910.125,291.949999999999,71306.7826086957,291.950000000005,512.256036701196,291.950000000005,237.95456182473
292.899999999999,4559.5,291.899999999999,51332,291.899999999999,72026.8695652174,291.900000000005,505.156414345946,291.900000000005,237.142496998799
292.849999999999,4707.65,291.849999999999,51151.25,291.849999999999,71470.7826086956,291.850000000006,514.767467738427,291.850000000006,245.263145258103
292.799999999999,5091.2,291.799999999999,51091.625,291.799999999999,70944.0434782609,291.800000000006,519.976617279937,291.800000000006,249.587635054022
292.749999999999,5334.4,291.749999999999,49723.5,291.749999999999,69653.2608695652,291.750000000006,526.524276769861,291.750000000006,252.121668667467
292.699999999999,5614.4,291.699999999999,47314.125,291.699999999999,68963.6956521739,291.700000000006,509.737706128148,291.700000000006,249.734393757503
292.649999999999,6044.2,291.649999999999,47029.375,291.649999999999,69055.2173913044,291.650000000006,491.39184039189,291.650000000006,251.211764705882
292.599999999998,6756.85,291.599999999998,43598.625,291.599999999998,68353.0434782609,291.600000000006,485.299550265859,291.600000000006,265.2712484994
292.549999999998,7662.55,291.549999999998,41209.125,291.549999999998,67761.7391304348,291.550000000006,469.209832741619,291.550000000006,262.610024009604
292.499999999999,8388.95,291.499999999999,40407.375,291.499999999999,67090.6956521739,291.500000000006,458.425858260321,291.500000000006,264.077611044418
292.449999999998,9026.85,291.449999999999,38886.625,291.449999999999,66788.6086956522,291.450000000006,454.769104277539,291.450000000006,261.054381752701
292.399999999998,8944.75,291.399999999998,38396.5,291.399999999998,66123.652173913,291.400000000006,400.518054151854,291.400000000006,252.669567827131
292.349999999998,8981.75,291.349999999998,36693.75,291.349999999998,67749.1739130435,291.350000000006,403.298567085932,291.350000000006,238.815546218487
292.299999999998,9514.4,291.299999999998,37017.375,291.299999999998,66917.4347826087,291.300000000006,408.652606879589,291.300000000006,238.385054021609
292.249999999999,9930.05,291.249999999999,37200.25,291.249999999999,67817.9130434783,291.250000000006,436.202453395151,291.250000000006,241.780072028811
292.199999999998,10779.7,291.199999999999,39203.625,291.199999999999,68086.5217391304,291.200000000006,432.055832369393,291.200000000006,252.062965186074
